Iterations,Accuracy (%),$\delta_{\max}$,ATK,b,Group
480,47.77644230769231,0.125,Dissensus,1,Clique A
510,47.756410256410255,0.125,Dissensus,1,Clique A
540,47.786458333333336,0.125,Dissensus,1,Clique A
570,47.77644230769231,0.125,Dissensus,1,Clique A
600,47.786458333333336,0.125,Dissensus,1,Clique A
630,47.83653846153846,0.125,Dissensus,1,Clique A
660,47.86658653846154,0.125,Dissensus,1,Clique A
690,47.89663461538461,0.125,Dissensus,1,Clique A
720,47.92668269230769,0.125,Dissensus,1,Clique A
750,47.946714743589745,0.125,Dissensus,1,Clique A
780,47.95673076923077,0.125,Dissensus,1,Clique A
810,47.946714743589745,0.125,Dissensus,1,Clique A
840,47.936698717948715,0.125,Dissensus,1,Clique A
870,47.92668269230769,0.125,Dissensus,1,Clique A
900,47.98677884615385,0.125,Dissensus,1,Clique A
930,47.946714743589745,0.125,Dissensus,1,Clique A
960,47.95673076923077,0.125,Dissensus,1,Clique A
990,47.946714743589745,0.125,Dissensus,1,Clique A
1020,47.946714743589745,0.125,Dissensus,1,Clique A
1050,47.966746794871796,0.125,Dissensus,1,Clique A
1080,47.98677884615385,0.125,Dissensus,1,Clique A
1110,48.02684294871795,0.125,Dissensus,1,Clique A
1140,48.0068108974359,0.125,Dissensus,1,Clique A
1170,48.02684294871795,0.125,Dissensus,1,Clique A
1200,48.05689102564103,0.125,Dissensus,1,Clique A
1230,48.07692307692308,0.125,Dissensus,1,Clique A
1260,48.07692307692308,0.125,Dissensus,1,Clique A
1290,48.09695512820513,0.125,Dissensus,1,Clique A
1320,48.046875,0.125,Dissensus,1,Clique A
1350,48.05689102564103,0.125,Dissensus,1,Clique A
1380,48.06690705128205,0.125,Dissensus,1,Clique A
1410,48.05689102564103,0.125,Dissensus,1,Clique A
1440,48.0869391025641,0.125,Dissensus,1,Clique A
1470,48.09695512820513,0.125,Dissensus,1,Clique A
0,33.6338141025641,0.125,Dissensus,1,Clique B
30,35.5869391025641,0.125,Dissensus,1,Clique B
60,38.591746794871796,0.125,Dissensus,1,Clique B
90,39.953926282051285,0.125,Dissensus,1,Clique B
120,40.514823717948715,0.125,Dissensus,1,Clique B
150,40.78525641025641,0.125,Dissensus,1,Clique B
180,40.935496794871796,0.125,Dissensus,1,Clique B
210,41.15584935897436,0.125,Dissensus,1,Clique B
240,41.18589743589744,0.125,Dissensus,1,Clique B
270,41.20592948717949,0.125,Dissensus,1,Clique B
300,41.15584935897436,0.125,Dissensus,1,Clique B
330,41.16586538461539,0.125,Dissensus,1,Clique B
360,41.145833333333336,0.125,Dissensus,1,Clique B
390,41.13581730769231,0.125,Dissensus,1,Clique B
420,41.125801282051285,0.125,Dissensus,1,Clique B
450,41.13581730769231,0.125,Dissensus,1,Clique B
480,41.0556891025641,0.125,Dissensus,1,Clique B
510,40.99559294871795,0.125,Dissensus,1,Clique B
540,40.9755608974359,0.125,Dissensus,1,Clique B
570,40.98557692307692,0.125,Dissensus,1,Clique B
600,40.94551282051282,0.125,Dissensus,1,Clique B
630,40.935496794871796,0.125,Dissensus,1,Clique B
660,40.87540064102564,0.125,Dissensus,1,Clique B
690,40.84535256410256,0.125,Dissensus,1,Clique B
720,40.84535256410256,0.125,Dissensus,1,Clique B
750,40.78525641025641,0.125,Dissensus,1,Clique B
780,40.81530448717949,0.125,Dissensus,1,Clique B
810,40.79527243589744,0.125,Dissensus,1,Clique B
840,40.79527243589744,0.125,Dissensus,1,Clique B
870,40.79527243589744,0.125,Dissensus,1,Clique B
900,40.80528846153846,0.125,Dissensus,1,Clique B
930,40.80528846153846,0.125,Dissensus,1,Clique B
960,40.79527243589744,0.125,Dissensus,1,Clique B
990,40.81530448717949,0.125,Dissensus,1,Clique B
1020,40.79527243589744,0.125,Dissensus,1,Clique B
1050,40.78525641025641,0.125,Dissensus,1,Clique B
1080,40.77524038461539,0.125,Dissensus,1,Clique B
1110,40.77524038461539,0.125,Dissensus,1,Clique B
1140,40.77524038461539,0.125,Dissensus,1,Clique B
1170,40.81530448717949,0.125,Dissensus,1,Clique B
1200,40.79527243589744,0.125,Dissensus,1,Clique B
1230,40.76522435897436,0.125,Dissensus,1,Clique B
1260,40.77524038461539,0.125,Dissensus,1,Clique B
1290,40.76522435897436,0.125,Dissensus,1,Clique B
1320,40.755208333333336,0.125,Dissensus,1,Clique B
1350,40.76522435897436,0.125,Dissensus,1,Clique B
1380,40.725160256410255,0.125,Dissensus,1,Clique B
1410,40.735176282051285,0.125,Dissensus,1,Clique B
1440,40.755208333333336,0.125,Dissensus,1,Clique B
1470,40.735176282051285,0.125,Dissensus,1,Clique B
0,9.745592948717949,0.1875,Dissensus,1,All
30,13.151041666666666,0.1875,Dissensus,1,All
60,18.44951923076923,0.1875,Dissensus,1,All
90,19.010416666666668,0.1875,Dissensus,1,All
120,19.12059294871795,0.1875,Dissensus,1,All
150,19.170673076923077,0.1875,Dissensus,1,All
180,19.23076923076923,0.1875,Dissensus,1,All
210,19.280849358974358,0.1875,Dissensus,1,All
240,19.330929487179485,0.1875,Dissensus,1,All
270,19.35096153846154,0.1875,Dissensus,1,All
300,19.401041666666668,0.1875,Dissensus,1,All
330,19.46113782051282,0.1875,Dissensus,1,All
360,19.53125,0.1875,Dissensus,1,All
390,19.591346153846153,0.1875,Dissensus,1,All
420,19.681490384615383,0.1875,Dissensus,1,All
450,19.751602564102566,0.1875,Dissensus,1,All
480,19.821714743589745,0.1875,Dissensus,1,All
510,19.891826923076923,0.1875,Dissensus,1,All
540,19.931891025641026,0.1875,Dissensus,1,All
570,19.99198717948718,0.1875,Dissensus,1,All
600,20.052083333333332,0.1875,Dissensus,1,All
630,20.092147435897434,0.1875,Dissensus,1,All
660,20.122195512820515,0.1875,Dissensus,1,All
690,20.15224358974359,0.1875,Dissensus,1,All
720,20.15224358974359,0.1875,Dissensus,1,All
750,20.15224358974359,0.1875,Dissensus,1,All
780,20.10216346153846,0.1875,Dissensus,1,All
810,20.042067307692307,0.1875,Dissensus,1,All
840,20.052083333333332,0.1875,Dissensus,1,All
870,20.112179487179485,0.1875,Dissensus,1,All
900,20.22235576923077,0.1875,Dissensus,1,All
930,20.302483974358974,0.1875,Dissensus,1,All
960,20.282451923076923,0.1875,Dissensus,1,All
990,20.272435897435898,0.1875,Dissensus,1,All
1020,20.24238782051282,0.1875,Dissensus,1,All
1050,20.212339743589745,0.1875,Dissensus,1,All
1080,20.22235576923077,0.1875,Dissensus,1,All
1110,20.212339743589745,0.1875,Dissensus,1,All
1140,20.20232371794872,0.1875,Dissensus,1,All
1170,20.20232371794872,0.1875,Dissensus,1,All
1200,20.20232371794872,0.1875,Dissensus,1,All
1230,20.232371794871796,0.1875,Dissensus,1,All
1260,20.22235576923077,0.1875,Dissensus,1,All
1290,20.282451923076923,0.1875,Dissensus,1,All
1320,20.282451923076923,0.1875,Dissensus,1,All
1350,20.33253205128205,0.1875,Dissensus,1,All
1380,20.362580128205128,0.1875,Dissensus,1,All
1410,20.38261217948718,0.1875,Dissensus,1,All
1440,20.40264423076923,0.1875,Dissensus,1,All
1470,20.42267628205128,0.1875,Dissensus,1,All
0,37.57011217948718,0.1875,Dissensus,1,Clique A
30,39.322916666666664,0.1875,Dissensus,1,Clique A
60,41.94711538461539,0.1875,Dissensus,1,Clique A
90,46.013621794871796,0.1875,Dissensus,1,Clique A
120,47.12540064102564,0.1875,Dissensus,1,Clique A
150,47.576121794871796,0.1875,Dissensus,1,Clique A
180,47.756410256410255,0.1875,Dissensus,1,Clique A
210,47.83653846153846,0.1875,Dissensus,1,Clique A
240,47.99679487179487,0.1875,Dissensus,1,Clique A
270,48.06690705128205,0.1875,Dissensus,1,Clique A
300,48.07692307692308,0.1875,Dissensus,1,Clique A
330,48.07692307692308,0.1875,Dissensus,1,Clique A
360,48.11698717948718,0.1875,Dissensus,1,Clique A
390,48.11698717948718,0.1875,Dissensus,1,Clique A
420,48.11698717948718,0.1875,Dissensus,1,Clique A
450,48.11698717948718,0.1875,Dissensus,1,Clique A
480,48.10697115384615,0.1875,Dissensus,1,Clique A
510,48.10697115384615,0.1875,Dissensus,1,Clique A
540,48.10697115384615,0.1875,Dissensus,1,Clique A
570,48.10697115384615,0.1875,Dissensus,1,Clique A
600,48.09695512820513,0.1875,Dissensus,1,Clique A
